run,scenario,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,DPG,EOG
0,Baseline,0.862,0.8616855261657737,0.8617299897554676,0.8617073728008466,0.9470099327424168,0.052030105784315606,0.04522312069481871
0,Typos,0.862,0.8616855261657737,0.8617299897554676,0.8617073728008466,0.947004587768919,0.052030105784315606,0.04522312069481871
0,Noise,0.8,0.7995550611790878,0.7998752839517171,0.7996794871794872,0.8921954478642378,0.0059344162229983954,0.0421891480135943
0,Drift,0.8233333333333334,0.8226652114363979,0.8228154690218119,0.8227370206708702,0.9074178152459966,0.05283269823375336,0.08928299878345491
0,Bias-Mitigation,0.8526666666666667,0.8584585224335037,0.8557436194378869,0.8525670019599916,0.9470099327424168,0.007546078734086359,9.76600648462389e-05
1,Baseline,0.84,0.8404896125450696,0.8389957264957265,0.8394474136762261,0.9216826923076924,0.0034793374316940406,0.024346024346024397
1,Typos,0.8413333333333334,0.8417452678399039,0.8403846153846154,0.8408100583072178,0.9217948717948719,0.0035433743169398513,0.024346024346024397
1,Noise,0.7833333333333333,0.7831008981487573,0.7834935897435897,0.7831713382309183,0.8777101139601141,0.01432291666666663,0.007252007252007253
1,Drift,0.8306666666666667,0.8310898198451215,0.829603999009864,0.8300548641777064,0.9100133739597783,0.002219131133083363,0.017425803931078065
1,Bias-Mitigation,0.84,0.8428571428571429,0.8418803418803418,0.8399715504978662,0.9216826923076924,0.02561475409836067,0.0
2,Baseline,0.8146666666666667,0.8147562113871727,0.8149040129061864,0.8146548045741595,0.9027180186798195,0.016063621542143247,0.07498127850772696
2,Typos,0.8153333333333334,0.815402749233756,0.8155559033885854,0.8153194617729065,0.90281228933621,0.0147177265219548,0.07246238682006945
2,Noise,0.768,0.767884039827077,0.7679412177990115,0.7679071628651462,0.8563119540528378,0.03184099592675632,0.0621485465314181
2,Drift,0.7866666666666666,0.7865266841644795,0.7866571784380003,0.7865695320892708,0.8644315958014588,0.0008127530941652861,0.08559236093623446
2,Bias-Mitigation,0.8086666666666666,0.815534928811205,0.8103069843884235,0.8081071069906514,0.9027180186798195,0.05345176735395618,0.00019742664578936697
3,Baseline,0.844,0.8417218412300711,0.8428886587726803,0.8422497433749387,0.918543064247445,0.06550809983304262,0.0025830215560678216
3,Typos,0.8433333333333334,0.841036324096204,0.8422898563774706,0.8415980220648338,0.9182189005447752,0.06685762749835977,6.949833783143067e-05
3,Noise,0.7826666666666666,0.7798103748792583,0.7801449732114718,0.7799719587985119,0.864677862320472,0.020040219124887293,0.05076274425769989
3,Drift,0.7966666666666666,0.7941274604948525,0.7950181368033165,0.7945289458189672,0.8527302366421003,0.0704588282320695,0.03734302709847992
3,Bias-Mitigation,0.8446666666666667,0.8428748312384033,0.8421097654315429,0.8424732644001747,0.918543064247445,0.06653758141172328,9.266445044187055e-05
4,Baseline,0.8153333333333334,0.815319575605871,0.8153627455686951,0.8153234018362765,0.9008212738189855,0.00799294572761411,0.054601998742050406
4,Typos,0.8153333333333334,0.815319575605871,0.8153627455686951,0.8153234018362765,0.9009724066932305,0.00799294572761411,0.054601998742050406
4,Noise,0.77,0.7701651622815441,0.7701348994255173,0.76999907999632,0.8524089691137747,0.010709409489134125,0.04321056677615487
4,Drift,0.77,0.7699509858824407,0.7701387653442449,0.7699459117276907,0.8472246931151041,0.006489618748262704,0.09318181818181825
4,Bias-Mitigation,0.8186666666666667,0.819020289948006,0.8184485232540153,0.8185243897882606,0.9008212738189855,0.06788314939128454,9.08519113844708e-05
